hotel_id,hotel_name,city,state,hotel_type,rating,price_per_night,amenities,available_rooms
49,Namakkal Grand Hotel,Namakkal,Tamil Nadu,Luxury,4.6,5300,"WiFi, Pool, Gym, Breakfast, Parking",5
50,Namakkal Comfort Hotel,Namakkal,Tamil Nadu,Premium,4.3,3700,"WiFi, Breakfast, Parking, AC",9
51,Namakkal Heritage Hotel,Namakkal,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
52,Namakkal Residency Hotel,Namakkal,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
53,Krishnagiri Grand Hotel,Krishnagiri,Tamil Nadu,Luxury,4.6,5300,"WiFi, Pool, Gym, Breakfast, Parking",5
54,Krishnagiri Comfort Hotel,Krishnagiri,Tamil Nadu,Premium,4.3,3400,"WiFi, Breakfast, Parking, AC",9
55,Krishnagiri Heritage Hotel,Krishnagiri,Tamil Nadu,Standard,4.1,2600,"WiFi, Restaurant, Parking, AC",12
56,Krishnagiri Residency Hotel,Krishnagiri,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
57,Dharmapuri Grand Hotel,Dharmapuri,Tamil Nadu,Luxury,4.6,5400,"WiFi, Pool, Gym, Breakfast, Parking",5
58,Dharmapuri Comfort Hotel,Dharmapuri,Tamil Nadu,Premium,4.3,3400,"WiFi, Breakfast, Parking, AC",9
59,Dharmapuri Heritage Hotel,Dharmapuri,Tamil Nadu,Standard,4.1,2600,"WiFi, Restaurant, Parking, AC",12
60,Dharmapuri Residency Hotel,Dharmapuri,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
61,Sivaganga Grand Hotel,Sivaganga,Tamil Nadu,Luxury,4.6,5400,"WiFi, Pool, Gym, Breakfast, Parking",5
62,Sivaganga Comfort Hotel,Sivaganga,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
63,Sivaganga Heritage Hotel,Sivaganga,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
64,Sivaganga Residency Hotel,Sivaganga,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
65,Ramanathapuram Grand Hotel,Ramanathapuram,Tamil Nadu,Luxury,4.6,5500,"WiFi, Pool, Gym, Breakfast, Parking",5
66,Ramanathapuram Comfort Hotel,Ramanathapuram,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
67,Ramanathapuram Heritage Hotel,Ramanathapuram,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
68,Ramanathapuram Residency Hotel,Ramanathapuram,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
69,Virudhunagar Grand Hotel,Virudhunagar,Tamil Nadu,Luxury,4.6,5500,"WiFi, Pool, Gym, Breakfast, Parking",5
70,Virudhunagar Comfort Hotel,Virudhunagar,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
71,Virudhunagar Heritage Hotel,Virudhunagar,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
72,Virudhunagar Residency Hotel,Virudhunagar,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
73,Pudukkottai Grand Hotel,Pudukkottai,Tamil Nadu,Luxury,4.6,5600,"WiFi, Pool, Gym, Breakfast, Parking",5
74,Pudukkottai Comfort Hotel,Pudukkottai,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
75,Pudukkottai Heritage Hotel,Pudukkottai,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
76,Pudukkottai Residency Hotel,Pudukkottai,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
77,Nagapattinam Grand Hotel,Nagapattinam,Tamil Nadu,Luxury,4.6,5600,"WiFi, Pool, Gym, Breakfast, Parking",5
78,Nagapattinam Comfort Hotel,Nagapattinam,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
79,Nagapattinam Heritage Hotel,Nagapattinam,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
80,Nagapattinam Residency Hotel,Nagapattinam,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
81,Cuddalore Grand Hotel,Cuddalore,Tamil Nadu,Luxury,4.6,5200,"WiFi, Pool, Gym, Breakfast, Parking",5
82,Cuddalore Comfort Hotel,Cuddalore,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
83,Cuddalore Heritage Hotel,Cuddalore,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
84,Cuddalore Residency Hotel,Cuddalore,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
85,Villupuram Grand Hotel,Villupuram,Tamil Nadu,Luxury,4.6,5300,"WiFi, Pool, Gym, Breakfast, Parking",5
86,Villupuram Comfort Hotel,Villupuram,Tamil Nadu,Premium,4.3,3700,"WiFi, Breakfast, Parking, AC",9
87,Villupuram Heritage Hotel,Villupuram,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
88,Villupuram Residency Hotel,Villupuram,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
89,Kallakurichi Grand Hotel,Kallakurichi,Tamil Nadu,Luxury,4.6,5300,"WiFi, Pool, Gym, Breakfast, Parking",5
90,Kallakurichi Comfort Hotel,Kallakurichi,Tamil Nadu,Premium,4.3,3400,"WiFi, Breakfast, Parking, AC",9
91,Kallakurichi Heritage Hotel,Kallakurichi,Tamil Nadu,Standard,4.1,2600,"WiFi, Restaurant, Parking, AC",12
92,Kallakurichi Residency Hotel,Kallakurichi,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
93,Tiruvannamalai Grand Hotel,Tiruvannamalai,Tamil Nadu,Luxury,4.6,5400,"WiFi, Pool, Gym, Breakfast, Parking",5
94,Tiruvannamalai Comfort Hotel,Tiruvannamalai,Tamil Nadu,Premium,4.3,3400,"WiFi, Breakfast, Parking, AC",9
95,Tiruvannamalai Heritage Hotel,Tiruvannamalai,Tamil Nadu,Standard,4.1,2600,"WiFi, Restaurant, Parking, AC",12
96,Tiruvannamalai Residency Hotel,Tiruvannamalai,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
97,Kanchipuram Grand Hotel,Kanchipuram,Tamil Nadu,Luxury,4.6,5400,"WiFi, Pool, Gym, Breakfast, Parking",5
98,Kanchipuram Comfort Hotel,Kanchipuram,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
99,Kanchipuram Heritage Hotel,Kanchipuram,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
100,Kanchipuram Residency Hotel,Kanchipuram,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
101,Chengalpattu Grand Hotel,Chengalpattu,Tamil Nadu,Luxury,4.6,5500,"WiFi, Pool, Gym, Breakfast, Parking",5
102,Chengalpattu Comfort Hotel,Chengalpattu,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
103,Chengalpattu Heritage Hotel,Chengalpattu,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
104,Chengalpattu Residency Hotel,Chengalpattu,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
105,Tiruvallur Grand Hotel,Tiruvallur,Tamil Nadu,Luxury,4.6,5500,"WiFi, Pool, Gym, Breakfast, Parking",5
106,Tiruvallur Comfort Hotel,Tiruvallur,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
107,Tiruvallur Heritage Hotel,Tiruvallur,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
108,Tiruvallur Residency Hotel,Tiruvallur,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
109,Ranipet Grand Hotel,Ranipet,Tamil Nadu,Luxury,4.6,5600,"WiFi, Pool, Gym, Breakfast, Parking",5
110,Ranipet Comfort Hotel,Ranipet,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
111,Ranipet Heritage Hotel,Ranipet,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
112,Ranipet Residency Hotel,Ranipet,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
113,Tenkasi Grand Hotel,Tenkasi,Tamil Nadu,Luxury,4.6,5600,"WiFi, Pool, Gym, Breakfast, Parking",5
114,Tenkasi Comfort Hotel,Tenkasi,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
115,Tenkasi Heritage Hotel,Tenkasi,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
116,Tenkasi Residency Hotel,Tenkasi,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
117,Mayiladuthurai Grand Hotel,Mayiladuthurai,Tamil Nadu,Luxury,4.6,5200,"WiFi, Pool, Gym, Breakfast, Parking",5
118,Mayiladuthurai Comfort Hotel,Mayiladuthurai,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
119,Mayiladuthurai Heritage Hotel,Mayiladuthurai,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
120,Mayiladuthurai Residency Hotel,Mayiladuthurai,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
121,Ariyalur Grand Hotel,Ariyalur,Tamil Nadu,Luxury,4.6,5300,"WiFi, Pool, Gym, Breakfast, Parking",5
122,Ariyalur Comfort Hotel,Ariyalur,Tamil Nadu,Premium,4.3,3700,"WiFi, Breakfast, Parking, AC",9
123,Ariyalur Heritage Hotel,Ariyalur,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
124,Ariyalur Residency Hotel,Ariyalur,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
125,Perambalur Grand Hotel,Perambalur,Tamil Nadu,Luxury,4.6,5300,"WiFi, Pool, Gym, Breakfast, Parking",5
126,Perambalur Comfort Hotel,Perambalur,Tamil Nadu,Premium,4.3,3400,"WiFi, Breakfast, Parking, AC",9
127,Perambalur Heritage Hotel,Perambalur,Tamil Nadu,Standard,4.1,2600,"WiFi, Restaurant, Parking, AC",12
128,Perambalur Residency Hotel,Perambalur,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
